Random Number,Steps
132381,193
86495,226
476248,76
146032,157
489675,151
140816,82
261272,194
193794,191
361575,254
306182,109
126426,193
138577,175
252271,57
448348,94
363492,47
284705,189
11188,68
192153,222
148278,95
296978,96
205325,54
89155,71
481813,94
253422,225
475597,76
309590,140
365314,210
102618,79
393168,161
447413,156
294854,65
354022,47
54640,153
118055,149
442288,156
221778,93
476917,120
254854,256
346131,228
67693,112
150563,64
461986,169
344013,104
63901,99
472423,200
486406,63
271650,101
101934,203
256280,49
397353,143
198009,121
287073,57
327953,65
229233,62
103972,128
191920,191
20116,43
484983,89
364626,171
117961,149
135101,113
151995,56
78180,107
201061,116
32093,191
196285,160
36198,49
410780,161
239854,75
223789,62
102469,172
426419,81
224480,186
21671,154
361718,166
585,56
129109,74
286459,189
361986,91
369530,241
284472,127
411391,143
63944,86
111173,141
430988,50
103309,27
465178,63
253782,300
345172,73
157716,64
113485,61
175987,121
206767,173
117610,105
26014,64
265519,101
159010,77
175021,90
56572,60
160972,77
151105,64
221305,261
493407,151
145393,188
184840,147
398303,267
482590,94
187591,85
69063,130
489681,76
460732,187
364810,60
322172,215
151844,56
318428,78
13920,32
378457,86
94159,177
317344,52
465209,156
223908,93
210457,217
292038,158
417170,130
163502,152
79173,244
447819,94
488307,89
440269,156
80551,120
10528,55
128887,193
227121,199
192840,191
432862,174
362961,91
83842,89
3445,105
418597,174
72727,143
433689,231
310493,83
451276,156
99870,53
325771,153
213404,173
288041,176
346057,73
420095,174
4183,38
358460,166
222280,142
50986,127
467987,125
63564,130
126634,56
436438,81
103872,141
249187,44
243501,173
113122,154
61337,60
431852,218
234521,75
226307,111
14555,133
54920,153
199395,67
93410,40
379430,78
296591,96
96621,84
276288,57
287415,158
26430,170
6836,57
326444,184
232586,62
494817,195
218123,67
208687,85
223624,93
400722,143
67357,68
313171,153
393751,117
327201,153
171676,152
145251,188
135517,87
309527,78
111569,154
194358,160
305415,96
209298,173
263416,101
245406,88
494991,89
77264,76
379266,179
358143,241
381314,104
45669,132
224219,155
16940,58
217289,41
359405,179
230597,75
101637,84
320176,184
106311,123
238400,44
288347,326
183726,85
783,121
176916,46
313954,127
143776,51
360952,272
33843,85
319157,122
10529,42
20939,105
57120,34
453962,68
234832,44
211799,155
233185,106
470827,107
169627,134
323126,153
243244,88
372282,148
51357,78
148975,144
472339,169
283366,83
103775,128
331674,65
313152,140
358654,179
185205,85
237411,137
365146,86
321793,96
357729,166
220984,67
451818,125
172082,103
129883,149
289508,44
148468,95
498063,89
204496,80
1001,142
365512,135
462829,50
281040,176
381066,55
460599,125
266996,119
188564,85
403443,73
397218,99
40298,88
218218,142
337277,184
276846,137
176182,165
366205,117
20633,180
318912,109
15883,146
309516,189
129351,193
63698,104
415142,55
226687,186
440968,187
435183,218
141911,51
154361,113
307807,202
222807,155
269134,176
441297,125
28859,165
421006,104
315922,202
66332,99
369608,140
44027,176
56436,60
415265,174
225018,49
360731,241
497401,120
444752,112
198691,116
41958,57
211907,80
70305,104
449342,94
96256,115
127889,224
424058,81
234809,80
192228,46
160052,69
367559,179
92775,115
397694,99
175376,46
293407,96
268793,176
154462,170
221702,116
431036,218
441700,156
307691,163
235743,106
177158,103
474213,169
268546,114
311092,171
35376,98
222305,93
394476,161
307723,171
149009,113
65491,192
94218,84
313017,83
298977,96
260402,75
55944,109
125277,87
199893,67
336417,91
40953,256
82520,32
368292,148
31180,147
304486,65
81886,76
287445,189
421915,130
349429,179
249667,150
167452,183
351082,272
41652,106
163804,64
175674,152
370615,148
207351,160
60339,117
199708,204
398938,117
37785,62
140084,82
140128,219
61101,86
191875,85
424791,86
320495,171
444271,117
45979,207
76736,76
461315,76
452284,125
150478,87
204083,98
474635,99
28024,90
359493,210
415655,174
388681,148
159409,77
185278,191
141322,82
282821,83
93250,177
237568,31
338660,109
141914,144
437930,63
477299,275
127235,131
474219,169
52384,47
119886,66
116694,105
20515,56
341932,104
406892,60
40457,181
479458,169
447847,138
155274,170
495615,169
339065,135
228301,199
121740,35
42215,80
317551,78
418152,112
409961,81
308924,171
478322,76
250377,88
426920,187
107313,79
224671,93
249285,88
130448,118
379282,179
293302,158
104123,128
159088,77
399206,205
215563,155
286912,52
313370,171
199288,129
290554,101
39682,49
424814,81
417563,161
253685,225
2512,40
421879,130
138150,113
105401,172
300621,65
453951,187
391921,192
114901,74
104149,79
302517,65
471114,169
225072,111
283954,83
466628,50
381135,78
8216,39
269032,70
125451,149
327240,184
278829,145
371318,86
321814,215
162918,152
153536,77
404173,99
410207,166
485947,89
243324,199
60089,65
414600,55
68723,81
468831,107
37530,155
429340,156
303591,158
373239,117
285873,101
443904,37
464863,138
467155,169
411572,130
144140,43
232947,75
270965,44
212,13
36379,142
72033,187
73395,156
438193,156
110618,48
29436,147
177791,240
142013,219
150705,64
423621,143
31685,54
377273,148
174893,59
217565,124
213713,72
354140,104
319396,215
215498,142
423430,125
157737,139
497910,89
301343,140
401633,117
351543,179
466637,50
113663,229
167206,108
5126,54
433978,125
464267,76
451442,138
96571,45
277384,145
478799,213
190027,103
51927,52
138841,69
285147,83
137877,175
158760,77
424212,81
184216,178
355899,241
204285,217
136304,162
449552,86
407891,205
453834,63
373799,223
203247,98
303600,57
396999,73
71758,55
375097,86
23428,144
445776,37
164815,90
410775,55
249461,88
430196,94
227065,106
321120,47
371804,148
414455,112
193675,191
473400,125
306302,171
151583,232
461,35
472259,50
254093,150
264752,163
184475,103
408146,174
92962,146
172624,165
83356,138
252177,181
456813,156
187959,209
91602,208
407684,112
451447,86
193638,98
120424,43
403593,298
153695,170
374046,135
239585,106
93596,84
217840,93
10140,86
186892,41
475194,138
295061,96
55351,140
427494,218
150855,201
392791,130
263847,150
74163,94
298076,140
18823,61
233734,168
293583,220
196066,67
268204,238
127990,193
189548,85
10441,104
41808,31
341209,197
31350,103
231980,137
487253,138
383121,148
239387,168
184368,178
24295,188
180059,90
181241,116
409275,174
17112,79
110237,141
332354,60
318035,246
296619,202
421060,81
374414,210
213377,173
449108,200
463487,213
237879,124
194629,67
259704,194
180552,116
53583,70
84403,151
479638,107
289653,96
162283,170
24539,157
345182,272
82719,182
67717,42
222406,49
270357,132
20835,43
38415,199
17560,141
418940,112
76338,94
71136,187
